epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6985,1.82618,3.42462,1.9219,0.33132,0.25347,0.20333,0.06952,2.15797,4.72971,2.39745,0.000662447,0.000662447,0.000662447
2,149.323,1.95538,2.76011,2.04141,0.07707,0.08333,0.04124,0.01546,2.91566,3.84451,3.16205,0.00131032,0.00131032,0.00131032
3,221.344,1.96562,2.44382,2.03987,0.24632,0.29514,0.21206,0.0787,2.14844,2.80434,2.57281,0.00193933,0.00193933,0.00193933
4,292.773,1.97438,2.33827,2.0624,0.38302,0.26736,0.24796,0.08211,2.40128,5.63626,2.58421,0.00191514,0.00191514,0.00191514
5,364.336,1.94343,2.14034,2.00271,0.43341,0.34375,0.34993,0.14375,2.0576,2.38133,2.25737,0.00188686,0.00188686,0.00188686
6,432.445,1.88482,2.01573,1.95432,0.46758,0.44792,0.43539,0.17336,2.02931,1.98437,2.31429,0.00185857,0.00185857,0.00185857
7,500.496,1.85738,1.91113,1.93369,0.50671,0.33681,0.37819,0.15417,2.08174,2.21797,2.20034,0.00183029,0.00183029,0.00183029
8,570.115,1.86388,1.87931,1.92235,0.69152,0.44097,0.47797,0.1896,2.01985,2.05803,2.19063,0.001802,0.001802,0.001802
9,638.037,1.80881,1.77035,1.86177,0.46751,0.39931,0.39925,0.15754,2.09733,2.19687,2.26783,0.00177371,0.00177371,0.00177371
10,703.695,1.8012,1.75471,1.86133,0.7045,0.44097,0.53265,0.2276,1.96518,1.93518,2.19644,0.00174543,0.00174543,0.00174543
11,773.949,1.77518,1.70022,1.84463,0.61246,0.57617,0.60614,0.25514,1.92693,2.1343,2.12411,0.00171714,0.00171714,0.00171714
12,843.049,1.76268,1.60798,1.82993,0.66117,0.4675,0.52486,0.2152,2.06589,1.94956,2.2136,0.00168886,0.00168886,0.00168886
13,909.768,1.72524,1.60881,1.813,0.80225,0.53819,0.60353,0.27339,1.93434,1.66569,2.10736,0.00166057,0.00166057,0.00166057
14,977.11,1.73279,1.59846,1.78967,0.71667,0.54455,0.59771,0.25696,1.95509,1.76618,2.12108,0.00163229,0.00163229,0.00163229
15,1046.39,1.70632,1.55485,1.77791,0.64918,0.54514,0.61088,0.27767,1.93427,1.59767,2.12075,0.001604,0.001604,0.001604
16,1114.44,1.71512,1.50061,1.78339,0.71934,0.52083,0.58525,0.23892,1.98872,1.81552,2.18816,0.00157571,0.00157571,0.00157571
17,1181.15,1.70202,1.48656,1.78176,0.77966,0.5283,0.6266,0.27322,1.97986,1.76987,2.15978,0.00154743,0.00154743,0.00154743
18,1249.58,1.72612,1.51242,1.77668,0.72812,0.48354,0.60835,0.25144,2.00014,1.63465,2.14746,0.00151914,0.00151914,0.00151914
19,1318.48,1.67039,1.43733,1.76564,0.80251,0.60417,0.68286,0.28407,1.97437,1.52821,2.1629,0.00149086,0.00149086,0.00149086
20,1386.13,1.67705,1.39629,1.7409,0.77171,0.5625,0.64672,0.26458,2.04447,1.57818,2.21685,0.00146257,0.00146257,0.00146257
21,1451.9,1.64694,1.41256,1.74338,0.71761,0.60885,0.65914,0.28476,2.03061,1.49509,2.22986,0.00143429,0.00143429,0.00143429
22,1520.83,1.62444,1.32881,1.71944,0.82681,0.64236,0.71994,0.3007,2.00514,1.42759,2.18681,0.001406,0.001406,0.001406
23,1589.42,1.65018,1.34828,1.71743,0.74476,0.52685,0.57576,0.24514,2.15026,1.68108,2.36294,0.00137771,0.00137771,0.00137771
